customer_id,tenure_months,monthly_data_usage_gb,monthly_call_minutes,support_calls,contract_type,churn
1,39,14.69,409.0,0,Prepaid,0
2,52,18.67,481.0,1,Prepaid,0
3,29,14.09,102.0,2,Prepaid,0
4,15,16.32,596.0,1,Postpaid,1
5,43,16.69,594.0,0,Postpaid,0
6,8,10.88,336.0,3,Postpaid,1
7,21,15.63,806.0,1,Prepaid,0
8,39,7.3,584.0,2,Prepaid,1
9,58,13.75,576.0,3,Postpaid,1
10,19,14.89,578.0,0,Prepaid,0
11,23,17.26,574.0,0,Prepaid,0
12,11,16.1,397.0,0,Postpaid,0
13,11,17.32,382.0,4,Postpaid,0
14,24,11.5,258.0,3,Prepaid,0
15,53,10.27,313.0,2,Prepaid,1
16,36,10.63,353.0,0,Postpaid,1
17,40,13.33,410.0,2,Prepaid,0
18,24,2.96,640.0,1,Postpaid,0
19,3,18.66,85.0,2,Postpaid,1
20,22,12.22,602.0,1,Postpaid,0
21,53,9.92,248.0,2,Prepaid,0
22,2,1.0,384.0,2,Prepaid,0
23,24,11.82,291.0,1,Postpaid,1
24,44,11.01,678.0,0,Prepaid,0
25,30,7.51,325.0,3,Prepaid,0
26,38,8.63,478.0,3,Prepaid,1
27,2,11.87,486.0,3,Prepaid,0
28,21,9.06,226.0,1,Postpaid,1
29,33,14.86,385.0,3,Postpaid,0
30,12,8.26,581.0,4,Postpaid,0
31,58,12.77,269.0,0,Postpaid,0
32,22,17.9,524.0,2,Prepaid,0
33,44,11.82,350.0,1,Postpaid,0
34,25,13.78,575.0,4,Prepaid,1
35,49,13.46,662.0,2,Prepaid,0
36,27,12.04,99.0,0,Prepaid,0
37,59,11.66,199.0,3,Postpaid,0
38,42,9.14,334.0,0,Prepaid,0
39,28,12.76,620.0,1,Postpaid,0
40,16,10.58,480.0,3,Postpaid,0
41,15,19.73,213.0,0,Prepaid,0
42,47,16.06,502.0,3,Postpaid,0
43,51,4.74,263.0,2,Postpaid,0
44,44,5.01,531.0,1,Postpaid,0
45,55,11.35,481.0,2,Postpaid,1
46,52,10.02,262.0,3,Prepaid,0
47,57,11.08,390.0,0,Prepaid,0
48,3,15.26,584.0,3,Prepaid,1
49,37,13.58,116.0,4,Postpaid,0
50,51,13.53,445.0,1,Prepaid,0
51,7,19.23,234.0,0,Postpaid,1
52,21,5.06,398.0,1,Prepaid,0
53,9,12.52,469.0,2,Postpaid,0
54,39,9.1,702.0,3,Prepaid,0
55,18,19.18,396.0,2,Prepaid,1
56,4,1.0,620.0,2,Postpaid,0
57,25,1.17,274.0,2,Prepaid,0
58,14,13.52,326.0,0,Postpaid,1
59,50,17.63,488.0,0,Postpaid,0
60,58,15.87,430.0,1,Postpaid,0
61,9,8.0,351.0,0,Postpaid,0
62,26,19.53,347.0,2,Postpaid,1
63,53,5.84,600.0,2,Postpaid,0
64,2,18.54,357.0,4,Postpaid,1
65,20,6.5,247.0,3,Prepaid,1
66,28,10.24,272.0,4,Postpaid,0
67,47,15.2,500.0,0,Postpaid,0
68,7,4.67,738.0,1,Prepaid,1
69,44,19.35,321.0,3,Postpaid,0
70,8,10.21,722.0,2,Postpaid,0
71,47,12.69,398.0,0,Postpaid,0
72,35,17.81,358.0,1,Prepaid,1
73,14,8.03,263.0,1,Prepaid,0
74,17,17.3,370.0,0,Prepaid,0
75,36,20.2,287.0,2,Postpaid,0
76,50,8.72,275.0,2,Prepaid,0
77,40,18.85,152.0,0,Prepaid,0
78,4,3.2,665.0,0,Prepaid,0
79,2,13.95,560.0,1,Prepaid,0
80,6,5.86,441.0,0,Postpaid,0
81,54,16.71,378.0,1,Postpaid,0
82,42,16.3,399.0,2,Postpaid,0
83,4,22.39,283.0,1,Prepaid,1
84,54,19.11,230.0,2,Postpaid,0
85,29,11.17,508.0,2,Postpaid,0
86,18,6.59,361.0,1,Prepaid,0
87,26,14.83,449.0,1,Postpaid,1
88,44,11.7,151.0,2,Prepaid,1
89,34,19.76,353.0,1,Postpaid,0
90,10,1.17,227.0,2,Postpaid,1
91,36,22.94,473.0,2,Postpaid,0
92,14,14.66,549.0,1,Prepaid,0
93,31,7.93,619.0,2,Postpaid,0
94,48,15.67,306.0,1,Postpaid,0
95,15,18.49,231.0,3,Postpaid,0
96,8,12.57,337.0,1,Postpaid,1
97,14,3.18,295.0,0,Postpaid,0
98,23,10.53,465.0,3,Prepaid,0
99,57,17.2,190.0,1,Prepaid,0
100,40,14.48,137.0,2,Postpaid,0
101,21,11.22,348.0,2,Postpaid,1
102,16,18.54,509.0,2,Prepaid,0
103,45,15.7,246.0,1,Prepaid,0
104,18,16.08,527.0,3,Prepaid,1
105,47,9.95,455.0,0,Postpaid,1
106,53,9.46,632.0,1,Postpaid,0
107,24,3.5,280.0,1,Postpaid,0
108,26,10.7,159.0,3,Prepaid,1
109,25,16.68,490.0,1,Postpaid,0
110,45,10.98,442.0,1,Postpaid,0
111,41,14.23,430.0,3,Prepaid,1
112,29,17.56,243.0,2,Prepaid,0
113,15,13.86,516.0,3,Postpaid,0
114,45,14.35,305.0,1,Postpaid,1
115,1,5.21,430.0,1,Prepaid,0
116,25,10.39,331.0,0,Postpaid,0
117,7,20.63,453.0,1,Prepaid,0
118,9,12.52,221.0,2,Prepaid,1
119,24,21.48,475.0,1,Postpaid,0
120,1,8.38,499.0,3,Postpaid,0
121,44,13.17,417.0,1,Prepaid,0
122,8,10.09,647.0,1,Postpaid,0
123,24,14.96,431.0,1,Prepaid,1
124,11,16.48,538.0,1,Postpaid,0
125,51,15.01,414.0,0,Prepaid,0
126,17,17.21,524.0,3,Postpaid,1
127,8,11.93,170.0,0,Postpaid,0
128,35,11.05,405.0,1,Postpaid,1
129,35,3.21,231.0,3,Postpaid,0
130,33,15.19,421.0,2,Postpaid,0
131,59,12.86,458.0,0,Postpaid,0
132,5,11.66,521.0,1,Postpaid,1
133,42,11.05,473.0,0,Postpaid,1
134,39,11.82,349.0,3,Postpaid,1
135,58,10.82,287.0,2,Postpaid,0
136,41,9.36,50.0,3,Postpaid,1
137,28,13.2,410.0,2,Prepaid,0
138,7,14.42,571.0,3,Postpaid,0
139,9,8.15,416.0,1,Prepaid,1
140,8,10.0,387.0,0,Prepaid,0
141,12,10.98,421.0,2,Postpaid,0
142,34,12.02,342.0,3,Prepaid,0
143,33,11.36,429.0,3,Postpaid,0
144,48,15.3,339.0,1,Postpaid,0
145,55,3.74,265.0,1,Postpaid,1
146,23,4.62,389.0,1,Prepaid,1
147,24,12.97,385.0,0,Postpaid,0
148,37,8.99,681.0,2,Postpaid,0
149,35,16.42,279.0,2,Prepaid,0
150,44,17.85,376.0,3,Postpaid,0
151,40,13.17,362.0,1,Prepaid,0
152,22,6.64,333.0,1,Postpaid,1
153,27,17.27,477.0,0,Postpaid,0
154,35,12.99,736.0,3,Postpaid,0
155,1,4.57,352.0,0,Postpaid,0
156,35,5.01,477.0,2,Postpaid,1
157,37,19.58,113.0,1,Postpaid,1
158,47,18.76,341.0,1,Postpaid,0
159,14,1.0,633.0,0,Postpaid,0
160,3,5.21,392.0,0,Postpaid,1
161,1,17.7,475.0,1,Postpaid,0
162,5,11.91,307.0,1,Prepaid,1
163,26,15.51,439.0,0,Prepaid,0
164,55,11.69,645.0,0,Postpaid,0
165,14,15.27,226.0,3,Prepaid,0
166,39,12.03,728.0,0,Postpaid,1
167,27,9.81,168.0,0,Postpaid,1
168,9,17.29,327.0,3,Postpaid,0
169,15,13.01,275.0,1,Prepaid,0
170,15,15.26,359.0,0,Postpaid,0
171,26,12.79,273.0,2,Postpaid,1
172,42,9.57,261.0,3,Postpaid,0
173,13,20.04,222.0,2,Prepaid,0
174,51,13.77,497.0,1,Postpaid,0
175,32,10.22,364.0,1,Postpaid,0
176,39,18.39,325.0,2,Postpaid,0
